variable,waypoint,n_runs,bias_std,mae_std,rmse_std,correlation_std,bias_range,mae_range,rmse_range,correlation_range
pressure_surface,KVEL,3,7.527036511745839,7.83305855705635,4.700240971017891,0.026574463204392336,15.027901785714292,15.501562499998329,9.127534645914693,0.04631997536839305
pressure_surface,QRS,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pressure_surface,QV4,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pressure_surface,USU01,3,3.2327766228655643,3.2327766228655643,2.8259608809440695,0.020438168462399455,5.602678571428569,5.602678571428569,4.936776615975077,0.03562259105734111
pressure_surface,USU02,3,17.550567767645127,17.550567767645127,16.730582088107294,0.004506636863530699,33.717633928571445,33.717633928571445,32.19158222984194,0.00898723958867409
pressure_surface,USU03,3,2.324186080452662,2.324186080452662,0.6542665466495989,0.009766482945085914,4.454241071428569,4.454241071428569,1.1599061933349901,0.01779034176591332
pressure_surface,USU04,3,20.877398405375406,20.877398405375406,21.41188957705864,0.009339335584911703,36.32366071428578,36.32366071428578,37.241939965982056,0.01690271171355076
pressure_surface,USU05,3,7.347867652377583,0.820328696795074,4.598740836109558,0.017631295091675003,13.467633928571423,1.640625,8.685557641948542,0.03088874112691331
pressure_surface,USU07,3,30.573995118322646,5.893965923149923,7.853635612241033,0.04602210193553239,54.15625,10.651785714285715,14.018058337780289,0.08031028829719578
pressure_surface,USU08,3,12.549696150189463,12.549696150189463,13.171185114605194,0.015325402720318071,23.7734375,23.7734375,24.842510597206342,0.027418702571032516
pressure_surface,UUT01,3,5.574556173836849,5.574556173836849,5.804600972672506,0.014978652197556425,9.765625,9.765625,10.182673066665245,0.026290517421415527
temp_2m,KVEL,3,0.2036485018602945,0.534593827050853,0.5789737123984606,0.2342383564094611,0.3745945521763392,0.9312273297991003,1.009800916322916,0.4145764723739785
temp_2m,QRS,3,1.3682004067299098,1.362557231565222,1.1839736392114533,0.041941569842375896,2.4429582868303568,2.429923618861614,2.063941023305045,0.08381057941104186
temp_2m,QV4,3,0.29379216126555097,0.44362812021888676,0.35803351624443114,0.16559621742868602,0.5478777204241074,0.8094377790178569,0.6763988577324835,0.30548629763435947
temp_2m,USU01,3,1.2713038941502153,1.320729827804427,1.4848505168083648,0.20265739377260528,2.2081080845424106,2.292596435546876,2.580232193834708,0.3550657310971788
temp_2m,USU02,3,0.654906328221247,0.42777009527430226,0.6510465097130498,0.03773897228505733,1.1838466099330356,0.7557599748883999,1.1446893872300703,0.06931961809193155
temp_2m,USU03,3,0.7481116316775872,0.9151675618238546,0.8569847770491049,0.07865936055503914,1.3104684012276788,1.632101876395089,1.5079118369596092,0.14066401657270333
temp_2m,USU04,3,0.12546599541697528,0.13978064921642538,0.5283453000326049,0.2204910842215462,0.24935477120535765,0.26920340401784326,0.9664444769589275,0.3821122208034371
temp_2m,USU05,3,0.783042233690634,0.512587533959189,0.2511672124467432,0.237617041307777,1.3702305385044644,0.9028686523437564,0.45789925811951715,0.43330204984553927
temp_2m,USU07,3,3.0647150057989045,1.1438359992711824,1.1217350363555303,0.031888663226577026,5.336696079799108,2.006478445870569,1.9800284594911677,0.058313306283370614
temp_2m,USU08,3,0.7906522531395698,0.7601145625019369,1.1577471673069486,0.12146199059128604,1.4042401994977682,1.3317827497209827,2.010185910566691,0.22412697382408314
temp_2m,UUT01,3,1.2713648759743155,1.2713648759743155,1.239258565410744,0.04609420553704475,2.271113804408482,2.271113804408482,2.173976627952056,0.0882237549913314
wind_dir_10m,KVEL,3,39.39545953301233,9.747129504540322,7.424073928307373,0.19021122063976412,68.41849190848212,19.335030691964278,14.779707737837668,0.3488433607816837
wind_dir_10m,QRS,3,20.271501424370292,13.903999070562028,26.567545718063933,0.3578928076086445,35.22544860839843,24.143291102818083,46.87305770629038,0.6262284967327814
wind_dir_10m,QV4,3,56.62911777634278,44.84667656638328,49.99506592032393,0.3711920709970956,98.46390642438617,79.86963762555803,87.76367557516858,0.6483634351018472
wind_dir_10m,USU01,3,22.6813983098881,13.98441623479949,13.909814580655006,0.4056686248324943,45.326725551060264,25.61234174455916,25.979059557716425,0.7642639061089094
wind_dir_10m,USU02,3,9.429583233933016,26.3035473276868,25.92818765573832,0.31678229328328783,18.14711652483259,46.99437168666293,46.55601846726992,0.5605552641337114
wind_dir_10m,USU03,3,14.058161587932164,3.6636067668353225,2.430850417452218,0.15124861927531505,25.51025390625,7.172661917550215,4.661014568012604,0.28929302490131964
wind_dir_10m,USU04,3,42.3926730214388,5.178821324881374,6.784195791838929,0.2559775934258481,84.09133475167411,9.962668282645083,12.651538160927984,0.5055911872289612
wind_dir_10m,USU05,3,25.587779344125373,29.55259116942332,30.04415524939867,0.21552873909634576,44.76582590738933,51.67277272542318,52.85482499289952,0.3733936964030898
wind_dir_10m,USU07,3,21.90788924204817,21.90788924204817,21.8218821400363,0.1760418087888846,39.00101725260416,39.00101725260416,38.48785359900947,0.34546522625157183
wind_dir_10m,USU08,3,57.62329661612999,57.62329661612999,62.651514661100826,NaN,100.08183506556921,100.08183506556921,108.9817740882005,NaN
wind_dir_10m,UUT01,3,37.6306979601682,19.3372492976855,9.481964957867325,0.18226306220428906,67.85618155343192,35.26700151715961,17.34783252443671,0.32279602361167736
wind_speed_10m,KVEL,3,0.43264834612662145,0.4019104938101498,0.5542218945269145,0.15523096736065878,0.7507887823241097,0.721960995878492,0.9952677370934858,0.30787571753346704
wind_speed_10m,QRS,3,0.1014467013135627,0.1905069808781821,0.17957377630599639,0.010001297519146073,0.1773659672055926,0.3305989837646486,0.3174993119301617,0.01999757052271744
wind_speed_10m,QV4,3,0.4975585087336513,0.11835613779590762,0.18013491383510882,0.0781194008969486,0.8756113818713597,0.2124707261153631,0.3212014283123721,0.13787345183954317
wind_speed_10m,USU01,3,0.8136588573733254,0.1333349663858303,0.344256936530958,0.5618521977179747,1.4201133825949257,0.2313508821385244,0.6016850600524637,0.9836495771015172
wind_speed_10m,USU02,3,0.061315039229289804,0.07618582102738355,0.13137433567729181,0.26263723229723257,0.11992574589593075,0.14095398868833264,0.2531159509147447,0.5169774288531098
wind_speed_10m,USU03,3,0.4975780270286665,0.16523589251839516,0.22455869518443752,0.25578777334679037,0.9387903894696916,0.3145994458879744,0.39557588506150654,0.4887986801118072
wind_speed_10m,USU04,3,0.47202858174051415,0.07044698420569652,0.16400422698709427,0.2956548088021858,0.8444977572986059,0.1400634918894086,0.3168251840670655,0.5704191948319726
