run,variable,waypoint,bias,mae,rmse,correlation,n_obs
gfs_2way_d02,temp_2m,KVEL,1.068918282645112,2.7344020298549134,3.3548179740528004,0.8973363618564357,7
gfs_2way_d02,wind_speed_10m,KVEL,1.0184110154424395,1.3387437176704406,1.6410922504680052,0.335767966301258,7
gfs_2way_d02,wind_dir_10m,KVEL,155.80784388950892,174.01896449497767,212.34383346784946,0.12458146992995499,7
gfs_2way_d02,pressure_surface,KVEL,79.69816964285565,87.1461160714264,91.9618822311492,0.9318311333090405,7
gfs_2way_d02,temp_2m,QRS,3.502999965122791,3.502999965122791,3.6561564192793763,0.8805209190857266,7
gfs_2way_d02,wind_speed_10m,QRS,1.110390511921474,1.4230176060540336,1.777387143935816,0.01888813469646234,7
gfs_2way_d02,wind_dir_10m,QRS,50.35297302246094,76.43607256208146,85.6919654946079,0.6129584466943978,7
gfs_2way_d02,pressure_surface,QRS,NaN,NaN,NaN,NaN,0
gfs_2way_d02,temp_2m,QV4,-2.251183210100424,3.4364318847656086,3.751586376019746,0.7505710166995283,7
gfs_2way_d02,wind_speed_10m,QV4,0.21195940562656948,0.957864294052124,1.2437651693833554,-0.33098705490368524,7
gfs_2way_d02,wind_dir_10m,QV4,3.022430419921875,56.29646955217634,72.98896077123402,0.7865301625695666,7
gfs_2way_d02,pressure_surface,QV4,NaN,NaN,NaN,NaN,0
gfs_2way_d02,temp_2m,USU01,4.47715018136163,4.998125348772338,5.610292114143017,0.27659324276734715,7
gfs_2way_d02,wind_speed_10m,USU01,1.6184142163821627,1.6184142163821627,2.0843939107684366,0.2811947827670663,7
gfs_2way_d02,wind_dir_10m,USU01,-8.848329816545759,67.20709882463727,78.4527384818793,0.45165778713917554,7
gfs_2way_d02,pressure_surface,USU01,106.84040178571429,106.84040178571429,116.83336188771617,0.8742409166262207,7
gfs_2way_d02,temp_2m,USU02,1.7410566057477908,2.2119288853236707,2.926372997644153,0.8687891261786903,7
gfs_2way_d02,wind_speed_10m,USU02,0.8095740905829837,1.2981372790677208,1.674932840942885,-0.5724557891840479,7
gfs_2way_d02,wind_dir_10m,USU02,-30.38236563546317,85.36362784249442,101.8511571612988,0.5273610921927168,7
gfs_2way_d02,pressure_surface,USU02,229.61272321428572,229.61272321428572,232.94682304876542,0.9589201139538518,7
gfs_2way_d02,temp_2m,USU03,-2.0149919782365844,2.8060703822544544,3.053465280382884,0.8444103553244793,7
gfs_2way_d02,wind_speed_10m,USU03,1.4206706762313843,1.4963424989155363,1.8148770026015908,0.42792399821992844,7
gfs_2way_d02,wind_dir_10m,USU03,115.37014552525112,138.04219491141183,182.63873015653422,-0.22831725650233486,7
gfs_2way_d02,pressure_surface,USU03,116.32924107142857,116.32924107142857,119.29679368828504,0.9212477563903295,7
gfs_2way_d02,temp_2m,USU04,4.275668770926362,4.275668770926362,4.750480382541479,-0.23709470108356512,7
gfs_2way_d02,wind_speed_10m,USU04,-0.45621953521456043,1.1606538006237577,1.296608431760761,-0.27788583165911757,7
gfs_2way_d02,wind_dir_10m,USU04,-5.631253923688616,74.99219839913505,98.54142253968867,0.13255956877290262,7
gfs_2way_d02,pressure_surface,USU04,-2421.7087053571427,2421.7087053571427,2422.517942849564,0.19375944709961362,7
gfs_2way_d02,temp_2m,USU05,0.6201276506696656,2.648840332031253,2.8469724049432985,0.020157782486646927,7
gfs_2way_d02,wind_speed_10m,USU05,3.258714519228254,3.258714519228254,4.440618077384643,0.17070054553178224,7
gfs_2way_d02,wind_dir_10m,USU05,-26.53613789876302,44.5116933186849,72.40058128203943,-0.8476523489769563,6
gfs_2way_d02,pressure_surface,USU05,61.169642857142854,61.169642857142854,70.30883844632818,0.9211984105302486,7
gfs_2way_d02,temp_2m,USU07,4.191995675223238,4.191995675223238,4.632746485822473,0.5407120802055384,7
gfs_2way_d02,wind_speed_10m,USU07,2.882734626531601,2.882734626531601,3.2688542615950906,NaN,7
gfs_2way_d02,wind_dir_10m,USU07,184.22052001953125,184.22052001953125,190.3296178569765,0.5565398592404716,3
gfs_2way_d02,pressure_surface,USU07,-13.7890625,39.8046875,66.99325046012181,0.8879389416725953,7
gfs_2way_d02,temp_2m,USU08,4.141891043526809,4.141891043526809,5.164605882567358,0.4144292150186932,7
gfs_2way_d02,wind_speed_10m,USU08,NaN,NaN,NaN,NaN,0
gfs_2way_d02,wind_dir_10m,USU08,77.05633544921875,77.05633544921875,94.86588576461932,NaN,7
gfs_2way_d02,pressure_surface,USU08,-267.5814732142857,267.5814732142857,270.92685554929113,0.9231357048534574,7
gfs_2way_d02,temp_2m,UUT01,3.9242140415736833,3.9242140415736833,4.188269379531944,0.8461588226968788,7
gfs_2way_d02,wind_speed_10m,UUT01,2.530615440436772,2.530615440436772,3.064119034742984,0.2968278651989044,7
gfs_2way_d02,wind_dir_10m,UUT01,-51.050097830636155,142.79933715820314,166.03068180774423,-0.23365614639961715,7
gfs_2way_d02,pressure_surface,UUT01,-237.63839285714286,237.63839285714286,241.22030008217695,0.9591892171583509,7
nam_2way_d02,temp_2m,KVEL,1.4435128348214512,1.813834054129474,2.3591443901087508,0.5011100822380664,7
nam_2way_d02,wind_speed_10m,KVEL,0.2676222331183297,0.6167827217919486,0.6458245133745194,0.643643683834725,7
nam_2way_d02,wind_dir_10m,KVEL,87.75795418875558,162.1980699811663,206.18718698902998,-0.22426189085172873,7
nam_2way_d02,pressure_surface,KVEL,72.95263392856994,77.43406249999784,89.34564642850819,0.9775621465616159,7
nam_2way_d02,temp_2m,QRS,1.060041678292434,1.0730763462611772,1.5922153959743315,0.7967103396746847,7
nam_2way_d02,wind_speed_10m,QRS,0.9363829428809031,1.0936846930640083,1.4732557023052206,-0.0011094358262551025,7
nam_2way_d02,wind_dir_10m,QRS,85.34894034249442,100.45718218122208,132.56502320089828,-0.013270050038383508,7
nam_2way_d02,pressure_surface,QRS,NaN,NaN,NaN,NaN,0
nam_2way_d02,temp_2m,QV4,-1.7933585030691737,2.7170296805245373,3.209849640482964,0.44508471906516883,7
nam_2way_d02,wind_speed_10m,QV4,-0.6353239279133932,0.7453935679367609,0.9225637410709833,-0.1984020309086203,7
nam_2way_d02,wind_dir_10m,QV4,-94.67822701590401,136.16610717773438,160.7526363464026,0.14918825800481114,7
nam_2way_d02,pressure_surface,QV4,NaN,NaN,NaN,NaN,0
nam_2way_d02,temp_2m,USU01,2.281384277343773,2.715612792968766,3.0469342722210455,-0.07847248832983168,7
nam_2way_d02,wind_speed_10m,USU01,0.22018553061144688,1.3870633342436383,1.482708850715973,-0.702454794334451,7
nam_2way_d02,wind_dir_10m,USU01,12.248683384486608,92.81944056919643,104.43179803959572,-0.16632710926096914,7
nam_2way_d02,pressure_surface,USU01,112.43638392857143,112.43638392857143,121.68488724271754,0.9098635076835618,7
nam_2way_d02,temp_2m,USU02,0.6637599400111837,1.4561689104352709,1.7816836104140825,0.9381087442706219,7
nam_2way_d02,wind_speed_10m,USU02,0.9294998364789144,1.177542246239526,1.4873266487356127,-0.2334332252991916,7
nam_2way_d02,wind_dir_10m,USU02,-12.23524911063058,132.35799952915735,148.40717562856872,-0.03319417194099465,7
nam_2way_d02,pressure_surface,USU02,254.921875,254.921875,256.94917195928775,0.9628208839434074,7
nam_2way_d02,temp_2m,USU03,-0.7344438825334593,1.1739685058593654,1.545553443423275,0.9757514681773513,7
nam_2way_d02,wind_speed_10m,USU03,0.48188028676169264,1.1817430530275619,1.4193011175400843,-0.06087468189187878,7
nam_2way_d02,wind_dir_10m,USU03,92.37705339704242,145.21485682896204,186.16644613315162,-0.5176102814036545,7
nam_2way_d02,pressure_surface,USU03,111.875,111.875,119.24139503034792,0.9371272219577166,7
nam_2way_d02,temp_2m,USU04,4.12666451590404,4.544872174944206,5.7169248595004065,-0.6192069218870022,7
nam_2way_d02,wind_speed_10m,USU04,-1.24391416822161,1.24391416822161,1.5285636064560113,0.29253336317285494,7
nam_2way_d02,wind_dir_10m,USU04,27.03882053920201,77.52006530761719,96.46181340062492,-0.05054564849323686,7
nam_2way_d02,pressure_surface,USU04,-2458.0323660714284,2458.0323660714284,2459.759882815546,0.21066215881316439,7
