variable,waypoint,n_runs,bias_std,mae_std,rmse_std,correlation_std,bias_range,mae_range,rmse_range,correlation_range
pressure_surface,KVEL,3,4.121243653474283,4.121243653474283,3.98315960290899,0.010261721066263661,8.229687499999997,8.229687499999997,7.966232292280409,0.01786865712364305
pressure_surface,QRS,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pressure_surface,QV4,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pressure_surface,USU01,3,10.891408725088189,10.891408725088189,10.504509636687693,0.020858506731328722,18.935937499999994,18.935937499999994,18.26846682979935,0.03669835274949529
pressure_surface,USU02,3,18.30749800589029,18.30749800589029,18.24359949201433,0.01310878477952091,35.03593750000002,35.03593750000002,34.86089704739203,0.02620705343407992
pressure_surface,USU03,3,14.264401987552786,14.264401987552786,12.852323684123592,0.04555966319681834,25.487499999999983,25.487499999999983,22.983703640427024,0.08157292055818843
pressure_surface,USU04,3,8.718046053197787,8.718046053197787,8.711504988674582,0.030513480970225056,15.331249999999727,15.331249999999727,15.315198866400806,0.05366106661180882
pressure_surface,USU05,3,5.951692399256244,5.951692399256244,3.0940770472786165,0.01225284358615356,11.064062499999999,11.064062499999999,6.021970149004858,0.02151606289204966
pressure_surface,USU07,3,31.009339780876235,26.101010965813185,24.4175362274134,0.007459723132903809,54.6375,46.13125,43.0673371186504,0.014829060341484346
pressure_surface,USU08,3,15.6578024689786,15.6578024689786,15.138927685865257,0.018473664074614073,29.17500000000001,29.17500000000001,28.217335973561887,0.03314404230981516
pressure_surface,UUT01,3,9.160093361102529,9.160093361102529,9.596675579707238,0.01876172923591932,15.901562500000011,15.901562500000011,16.68404701480003,0.0326998896194185
temp_2m,KVEL,3,0.7133351034423965,0.9328262346024403,1.2467085915443457,0.06961082359304047,1.2695556640625,1.6216748046874996,2.17342743797934,0.1276591216740912
temp_2m,QRS,3,1.1782963568734477,1.1782963568734477,1.0055311745707347,0.04014241426348299,2.137890625,2.137890625,1.7629263936670196,0.08021112297815647
temp_2m,QV4,3,0.7817167723518409,0.1877146818320252,0.09052085231105222,0.056126619998813757,1.40838623046875,0.367294921875009,0.17362666146913597,0.11161496069369603
temp_2m,USU01,3,0.8289174911537964,1.2500041862220945,1.4535021025090078,0.08336103746449927,1.443511962890625,2.172877197265616,2.5286167552332723,0.15111941610905105
temp_2m,USU02,3,0.9378066440864155,0.8316066279885669,0.952412992183088,0.0067816463387229105,1.6663635253906248,1.4496594238281346,1.660909019599748,0.013535582607876573
temp_2m,USU03,3,0.8720681469410904,0.8896450161789597,0.8619601712425844,0.033686546309195646,1.546636962890625,1.592852783203125,1.5198962464637544,0.06256226400748655
temp_2m,USU04,3,0.6909672427450615,0.8326586747964808,1.1291793966009633,0.11843365363790125,1.2610961914062502,1.4879882812499918,2.021206672306546,0.2052558092933361
temp_2m,USU05,3,0.22769175870121033,0.052633328703148095,0.29778146089812596,0.30574508101075504,0.41160888671875007,0.10441284179687482,0.542776989128849,0.5742679047691516
temp_2m,USU07,3,3.00836389634234,0.7933189310317518,0.6207443395520709,0.01855350984055994,5.239556884765625,1.3986804199219116,1.1170149397285716,0.03597311840051254
temp_2m,USU08,3,0.9899467419008914,0.9899467419008914,1.3927707227094843,0.0959874229260776,1.7194152832031242,1.7194152832031242,2.4201104759315433,0.1689548000475939
temp_2m,UUT01,3,1.0873615089757769,1.0873615089757769,0.9518143315954176,0.018666674459113464,1.974688720703125,1.974688720703125,1.6909872346626849,0.03665726949566528
wind_dir_10m,KVEL,3,36.91290608311666,21.022913254610184,16.540030284671875,0.5106686287359516,64.13464355468751,40.482635498046875,32.38532994610131,0.9048011815776391
wind_dir_10m,QRS,3,28.755097140494044,19.8407243349387,36.57558552919092,0.46949542809294026,49.89545593261719,34.38043542480469,64.52484079123892,0.817737641812421
wind_dir_10m,QV4,3,59.064335948644676,42.633041285248346,45.9099711030082,0.4242262567569204,102.5349365234375,77.10490112304687,81.43492140626215,0.7384920127718296
wind_dir_10m,USU01,3,44.07411258327666,21.76268878587018,27.29339890857759,0.30825932457514715,84.51890258789064,39.46005859375,49.71735091096021,0.6160972703851024
wind_dir_10m,USU02,3,6.329231347135978,12.728455523233327,11.64190518565378,0.03602485607767602,12.655422973632811,23.473284912109364,21.897221938727128,0.07122168395113967
wind_dir_10m,USU03,3,23.62913742272491,3.0273650213494094,4.316835211330724,0.2512162051184186,42.225372314453125,6.045956420898435,8.631814709693813,0.49412954323036257
wind_dir_10m,USU04,3,61.304505107389,7.227166168419201,8.18848758577933,NaN,121.93744506835937,13.858624267578122,15.146547785631597,NaN
wind_dir_10m,USU05,3,43.08052228568004,39.63003366834709,36.21611646752073,0.3523276250893495,75.36708068847656,69.29081726074219,63.722369067586,0.6109399842360181
wind_dir_10m,USU07,3,13.492437562035535,13.492437562035535,10.476777015092608,NaN,24.879791259765625,24.879791259765625,19.33455044195196,NaN
wind_dir_10m,USU08,3,50.34590236563352,50.34590236563352,60.18670435526336,NaN,87.92430725097655,87.92430725097655,105.60730484951505,NaN
wind_dir_10m,UUT01,3,49.701987147279766,30.054643437860552,13.028477927680004,0.15901098264228983,89.84903869628906,54.5922683105469,23.72476150654333,0.2856302408808511
wind_speed_10m,KVEL,3,0.7038832512403573,0.647406636228561,0.71710647352266,0.18763376689941366,1.2279523134231567,1.163924201965332,1.2964986018201816,0.35580511729193987
wind_speed_10m,QRS,3,0.04739636866800968,0.1718989651989797,0.1736484914325887,0.06257542107712652,0.08635351657867418,0.3008797397613526,0.31415825443704737,0.10925307849488297
wind_speed_10m,QV4,3,0.5974360824257362,0.1769235339927284,0.34528252224872863,0.061125224038841755,1.049275928735733,0.31796479654312126,0.6102078255304652,0.10655422719988014
wind_speed_10m,USU01,3,0.5446605650488723,0.0810769137374039,0.04407034696859761,0.6870413532205316,0.9561688035726547,0.14317531049251553,0.08373519488834269,1.1984284617169907
