run,waypoint,valid_time,temp_2m,wind_speed_10m,wind_dir_10m,pressure_surface,q2
gfs_2way_d02,KVEL,2013-02-02 12:00:00,257.40655517578125,0.5398575663566589,304.5985412597656,84895.7421875,0.001120219356380403
gfs_2way_d02,KVEL,2013-02-02 13:00:00,256.008056640625,1.4808269739151,156.26107788085938,85061.890625,0.0011773197911679745
gfs_2way_d02,KVEL,2013-02-02 14:00:00,257.0061950683594,4.616301536560059,332.4851989746094,85137.0625,0.0008818680653348565
gfs_2way_d02,KVEL,2013-02-02 15:00:00,258.3608093261719,2.0470023155212402,293.671142578125,85165.3515625,0.001285144709981978
gfs_2way_d02,KVEL,2013-02-02 16:00:00,264.02691650390625,1.756953239440918,318.87548828125,85174.0859375,0.0015476348344236612
gfs_2way_d02,KVEL,2013-02-02 17:00:00,265.9658203125,0.47800856828689575,286.6737976074219,85210.1015625,0.0019075910095125437
gfs_2way_d02,KVEL,2013-02-02 18:00:00,267.5580749511719,0.8299269080162048,18.08966064453125,85231.1328125,0.0023054934572428465
gfs_2way_d02,QRS,2013-02-02 12:00:00,264.5685729980469,2.394975185394287,291.47406005859375,85395.375,0.001492452109232545
gfs_2way_d02,QRS,2013-02-02 13:00:00,261.40557861328125,3.8643460273742676,204.9246826171875,85548.4296875,0.0010647766757756472
gfs_2way_d02,QRS,2013-02-02 14:00:00,258.964599609375,2.5399343967437744,121.0653076171875,85568.1875,0.001291287480853498
gfs_2way_d02,QRS,2013-02-02 15:00:00,261.00543212890625,4.1345014572143555,63.043609619140625,85617.0,0.0011512532364577055
gfs_2way_d02,QRS,2013-02-02 16:00:00,263.09283447265625,0.9003801941871643,68.8055419921875,85704.6484375,0.0015010152710601687
gfs_2way_d02,QRS,2013-02-02 17:00:00,264.47967529296875,0.7931713461875916,273.8784484863281,85742.5390625,0.001770800445228815
gfs_2way_d02,QRS,2013-02-02 18:00:00,265.664306640625,0.505424976348877,114.49916076660156,85760.6875,0.00198179529979825
gfs_2way_d02,QV4,2013-02-02 12:00:00,257.41632080078125,0.8991958498954773,316.0794677734375,84251.890625,0.001088058459572494
gfs_2way_d02,QV4,2013-02-02 13:00:00,256.25286865234375,2.026597738265991,166.83636474609375,84388.78125,0.00120412721298635
gfs_2way_d02,QV4,2013-02-02 14:00:00,256.5449523925781,3.9308040142059326,357.1982421875,84485.75,0.0008646455826237798
