run,variable,waypoint,bias,mae,rmse,correlation,n_obs
gfs_2way_d02,temp_2m,KVEL,2.3135632324218975,3.011085205078138,3.72721150705064,0.8770756720533693,5
gfs_2way_d02,wind_speed_10m,KVEL,1.3296385135650635,1.754435086250305,1.9265170013708377,0.337679193465146,5
gfs_2way_d02,wind_dir_10m,KVEL,169.9590576171875,169.9590576171875,209.18241023196262,0.4260709545256119,5
gfs_2way_d02,pressure_surface,KVEL,99.9328749999986,99.9328749999986,101.40460953333988,0.9747088286067983,5
gfs_2way_d02,temp_2m,QRS,3.051369628906273,3.051369628906273,3.1298617090707435,0.9611026417902532,5
gfs_2way_d02,wind_speed_10m,QRS,0.7386824741363525,1.1763604059219361,1.6234502028093611,-0.19321530893677163,5
gfs_2way_d02,wind_dir_10m,QRS,30.052413696289058,66.56875305175781,78.40707622207654,0.34795057414705427,5
gfs_2way_d02,pressure_surface,QRS,NaN,NaN,NaN,NaN,0
gfs_2way_d02,temp_2m,QV4,-1.3254943847656024,2.9848425292968614,3.339583975297349,0.6954313413432954,5
gfs_2way_d02,wind_speed_10m,QV4,0.48958445024490355,0.9815296339988707,1.322761414581196,-0.16489137582721725,5
gfs_2way_d02,wind_dir_10m,QV4,33.64823608398437,49.398223876953125,61.04412366736533,0.9599795217644956,5
gfs_2way_d02,pressure_surface,QV4,NaN,NaN,NaN,NaN,0
gfs_2way_d02,temp_2m,USU01,4.397449951171898,5.126815185546889,5.843988579967634,0.2666335689377995,5
gfs_2way_d02,wind_speed_10m,USU01,1.287001416683197,1.287001416683197,1.6337917341716048,0.5494556014935369,5
gfs_2way_d02,wind_dir_10m,USU01,-40.36343688964844,63.47984924316406,65.70929286869057,0.28227037337136246,5
gfs_2way_d02,pressure_surface,USU01,116.203125,116.203125,121.31464560103485,0.9711572632732435,5
gfs_2way_d02,temp_2m,USU02,2.5618920898437727,2.753146972656264,3.413993796200697,0.9447430486814579,5
gfs_2way_d02,wind_speed_10m,USU02,0.7082503068447114,1.2005896246433259,1.5888857543365993,-0.6070232768057647,5
gfs_2way_d02,wind_dir_10m,USU02,-11.685006713867187,88.65877380371094,110.19828808431392,0.2945507434838179,5
gfs_2way_d02,pressure_surface,USU02,245.5015625,245.5015625,246.1944033992989,0.9494756620337053,5
gfs_2way_d02,temp_2m,USU03,-2.779085693359352,2.9433923339843613,3.259238418320351,0.9212475355115082,5
