variable,waypoint,n_runs,bias_std,mae_std,rmse_std,correlation_std,bias_range,mae_range,rmse_range,correlation_range
pressure_surface,KVEL,4,155.7449546183379,155.7449546183379,155.51976216916387,0.015080375018546322,315.6645937500012,315.6645937500012,314.9438798766494,0.03692584270260113
pressure_surface,QRS,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pressure_surface,QV4,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pressure_surface,USU01,4,204.8593820277094,204.8593820277094,202.92920417077656,0.019937021848441212,421.90859375,421.90859375,417.62499705074754,0.044805876821056745
pressure_surface,USU02,4,175.9850727795316,175.9850727795316,176.17386064295107,0.025854128154224745,371.28671875,371.28671875,371.6260151677704,0.059958317331417654
pressure_surface,USU03,4,304.29757942284147,304.29757942284147,304.1888678500472,0.19836046601274382,624.5929687500001,624.5929687500001,622.8300907059222,0.4187477934817042
pressure_surface,USU04,4,281.894054392813,281.894054392813,281.17394169363934,0.19232664597415963,568.8765624999999,568.8765624999999,567.4274978717881,0.4166331423873812
pressure_surface,USU05,4,195.3716436092682,195.3716436092682,195.1184229894908,0.09277702897060527,397.421875,397.421875,393.626330541273,0.19184403632832603
pressure_surface,USU07,4,182.71483035531307,180.79482013855454,179.91377370587466,0.017915296106600653,397.69375,389.1875,385.7913576485561,0.04158415326279008
pressure_surface,USU08,4,117.86623224146719,109.04629115240489,107.90113252422535,0.016555283037267787,252.2140625,234.46093750000003,231.6594844273741,0.034932239425180756
pressure_surface,UUT01,4,274.6410503545785,61.801756919651666,64.30445326190106,0.11241611551459123,559.65546875,128.01953125,133.25353790395877,0.23377196320978255
temp_2m,KVEL,4,2.9457414668231454,1.40038978435236,1.5708051489062151,0.06381746795931702,6.59783935546875,2.8948657226562133,3.1266351761279516,0.1276591216740912
temp_2m,QRS,4,2.863270698083918,1.3880735524100047,1.3145942395683792,0.03302022702858197,6.748749572753906,2.7839009399413595,2.655493033747631,0.08021112297815647
temp_2m,QV4,4,2.7158762097788824,2.3682167371944276,2.42345087957994,0.0823822717336857,6.179766235351562,4.887713012695312,4.946264417131545,0.1892758075571379
temp_2m,USU01,4,3.6363785663241215,1.0206827417323934,1.1870999903144028,0.07262072532724947,8.102786865234375,2.172877197265616,2.5286167552332723,0.15111941610905105
temp_2m,USU02,4,2.5728310660033067,1.0643841215172474,1.0775519980359904,0.051587167129657024,5.994193420410156,2.1288137817382538,2.053068838947966,0.10909590859173224
temp_2m,USU03,4,3.47618897344983,3.4082728712660133,3.433583921731492,0.135817458892008,7.345559692382812,7.227468872070303,7.246468230437214,0.2900701603048429
temp_2m,USU04,4,3.1856869369922984,1.2540518389208348,1.5742354199933055,0.2043848585045248,6.738072509765624,2.6356701660156476,3.2717925381317343,0.4968783656003126
temp_2m,USU05,4,3.9601933068660498,3.287002490917404,3.1621922830581033,0.4489748068446264,8.173696594238281,6.629512023925763,6.64781347591602,0.9728337066345215
temp_2m,USU07,4,3.114010804769032,0.9201749635088283,0.7060693149823722,0.025250073156593836,7.30168243408203,1.7902383422851464,1.3852580188485328,0.05576059951386603
temp_2m,USU08,4,3.2606974065087284,1.1382213881987981,1.4331733737009063,0.08121058564118748,7.460932006835937,2.745848999023478,3.3526608853426323,0.1689548000475939
temp_2m,UUT01,4,3.1021984041123924,1.3870197790037582,1.532326037354205,0.027408104325166473,7.195223388671875,2.8556235351562096,3.2343652291571994,0.06592944750907559
wind_dir_10m,KVEL,4,33.05204664927264,34.3386050778801,33.079755877566825,0.42038248730254185,69.75666503906251,76.44351806640626,74.64083908164349,0.9048011815776391
wind_dir_10m,QRS,4,29.70894994263303,17.779158483315413,30.05287785332067,0.4751801920851641,69.61130798339843,37.56099243164063,64.52484079123892,0.8372259790293739
wind_dir_10m,QV4,4,48.34510558037557,34.9636202537292,39.23290263612848,0.4741230613690761,102.5349365234375,77.10490112304687,81.43492140626215,1.1373352701464374
wind_dir_10m,USU01,4,36.08233950919901,31.87041318423101,40.32647315911143,0.2723873593148752,84.51890258789064,77.94652404785157,98.58364904428524,0.6160972703851024
wind_dir_10m,USU02,4,24.220462732832477,11.116749174430678,9.600337269386218,0.09970149651767043,53.73324432373047,23.473284912109364,21.897221938727128,0.22928268780205208
wind_dir_10m,USU03,4,19.669198349670257,16.925032071801095,11.777003892506167,0.2869100866320217,42.225372314453125,36.604154968261724,26.738615850045292,0.6745434701728731
