waypoint,variable,n_obs,bias,mae,rmse,correlation
KVEL,temp_2m,133,6.116993518341776,6.116993518341776,6.366268793896618,0.8680442331095677
KVEL,wind_speed_10m,133,1.0720101340193497,1.253773863960926,1.4624048889836438,0.11193807512085091
KVEL,wind_dir_10m,130,-20.879905465932993,102.59456446721003,112.90887528295976,-0.4115415855394464
KVEL,pressure_surface,133,-85.76852678571355,90.94526550751766,105.06546216980398,0.9532167225757645
QRS,temp_2m,133,5.745893449138005,5.745893449138005,5.943094288907456,0.8908800544104255
QRS,wind_speed_10m,133,-0.8326677556011013,0.9455886725241079,1.5041699606172891,0.18142775647740883
QRS,wind_dir_10m,133,-1.9860647514171166,75.03502505194872,90.81387616860313,0.18149439119895383
QRS,pressure_surface,0,NaN,NaN,NaN,NaN
QV4,temp_2m,118,4.262022968874162,4.403501530016904,4.848352805967589,0.836521047989298
QV4,wind_speed_10m,118,0.5030761974140748,0.7456513191481767,0.9314306987071845,0.12335530225223365
QV4,wind_dir_10m,118,1.4565900382349046,71.03456762281515,86.25983402410299,-0.5774114059549323
QV4,pressure_surface,0,NaN,NaN,NaN,NaN
USU01,temp_2m,132,5.758059692382836,5.758059692382836,5.929913932835075,0.9180944549663382
USU01,wind_speed_10m,132,0.6958244226872922,1.1374591126812226,1.4150563802290472,0.0651975552070793
USU01,wind_dir_10m,128,4.442398428916931,56.001344084739685,72.44873883032518,-0.5733281509713835
USU01,pressure_surface,132,-44.27840909090909,77.1963778409091,87.31781789988968,0.9350845844742302
USU05,temp_2m,133,5.739512347458024,5.739512347458024,5.973957982230112,0.8787439976162146
USU05,wind_speed_10m,133,2.38990554782681,2.4062269419655764,2.6766111285315493,0.22125937684331165
USU05,wind_dir_10m,127,10.224157378429503,42.913069357083536,57.965449974824075,0.35810390215485294
USU05,pressure_surface,133,36.286360432330824,62.89514802631579,82.0905379112932,0.935071046536533
USU08,temp_2m,133,5.431073548740037,5.446728010822978,5.805269493378205,0.8517300347340705
USU08,wind_speed_10m,133,0.727534317307006,1.154923330410979,1.4450754572425795,-0.11014954323875706
USU08,wind_dir_10m,133,13.167568552117597,84.75195332692081,101.99244289856392,-0.191802353312022
USU08,pressure_surface,133,-117.07677396616542,126.04893092105263,140.33371760241744,0.9252646667645358
