run,waypoint,valid_time,temp_2m,wind_speed_10m,wind_dir_10m,pressure_surface,q2
nam_2way_d02,KVEL,2013-02-02 12:00:00,263.8593444824219,0.7242927551269531,75.92510986328125,84906.125,0.0019889711402356625
nam_2way_d02,KVEL,2013-02-02 13:00:00,258.16961669921875,2.1806318759918213,227.25291442871094,84985.703125,0.0019885676447302103
nam_2way_d02,KVEL,2013-02-02 14:00:00,259.1822204589844,0.9044797420501709,127.75137329101562,85075.9375,0.0019706771709024906
nam_2way_d02,KVEL,2013-02-02 15:00:00,259.9598083496094,0.7326326966285706,354.1188659667969,85179.953125,0.0015959588345140219
nam_2way_d02,KVEL,2013-02-02 16:00:00,261.3342590332031,0.8168026804924011,85.0897216796875,85213.1171875,0.001788960536941886
nam_2way_d02,KVEL,2013-02-02 17:00:00,262.5601806640625,0.9534585475921631,11.708221435546875,85227.078125,0.001977770123630762
nam_2way_d02,KVEL,2013-02-02 18:00:00,263.88916015625,0.18105733394622803,352.45947265625,85240.234375,0.002204303629696369
nam_2way_d02,QRS,2013-02-02 12:00:00,261.91851806640625,1.8366756439208984,276.22412109375,85424.453125,0.0014516531955450773
nam_2way_d02,QRS,2013-02-02 13:00:00,257.6443786621094,3.58978009223938,216.5732421875,85515.6171875,0.000989308813586831
nam_2way_d02,QRS,2013-02-02 14:00:00,258.0616455078125,1.1517046689987183,331.8512268066406,85591.203125,0.0012007358018308878
nam_2way_d02,QRS,2013-02-02 15:00:00,260.5927429199219,3.7956154346466064,39.901153564453125,85646.703125,0.0013669496402144432
nam_2way_d02,QRS,2013-02-02 16:00:00,259.7510070800781,1.182328701019287,138.8092498779297,85738.984375,0.0013815052807331085
nam_2way_d02,QRS,2013-02-02 17:00:00,261.0345458984375,1.4691321849822998,223.00250244140625,85751.3125,0.001574367517605424
nam_2way_d02,QRS,2013-02-02 18:00:00,263.07745361328125,0.8894438743591309,156.30108642578125,85752.390625,0.0018644663505256176
nam_2way_d02,QV4,2013-02-02 12:00:00,264.48284912109375,0.43160948157310486,48.39459228515625,84231.0390625,0.0019311216892674565
nam_2way_d02,QV4,2013-02-02 13:00:00,259.43304443359375,1.6615402698516846,260.9582824707031,84306.7578125,0.0019078166224062443
nam_2way_d02,QV4,2013-02-02 14:00:00,258.8330993652344,0.6648561358451843,90.39930725097656,84415.0859375,0.0019441742915660143
nam_2way_d02,QV4,2013-02-02 15:00:00,259.3143005371094,1.0558617115020752,349.2582092285156,84496.5546875,0.0020212382078170776
nam_2way_d02,QV4,2013-02-02 16:00:00,261.74066162109375,1.1337034702301025,96.20716857910156,84527.3203125,0.0018611048581078649
nam_2way_d02,QV4,2013-02-02 17:00:00,262.11883544921875,0.9069315195083618,34.085479736328125,84552.8203125,0.0019245112780481577
nam_2way_d02,QV4,2013-02-02 18:00:00,264.0736999511719,0.37822991609573364,156.94937133789062,84565.3828125,0.0022412724792957306
nam_2way_d02,USU01,2013-02-02 12:00:00,264.09130859375,0.7848283052444458,95.04586791992188,84845.0,0.0022411521058529615
nam_2way_d02,USU01,2013-02-02 13:00:00,260.3302001953125,1.5717045068740845,129.91758728027344,84857.078125,0.002033879980444908
nam_2way_d02,USU01,2013-02-02 14:00:00,261.6634521484375,2.04953932762146,262.5365905761719,85035.328125,0.0018277561757713556
nam_2way_d02,USU01,2013-02-02 15:00:00,261.6524963378906,0.1681223064661026,335.6338195800781,85076.75,0.0018377777887508273
nam_2way_d02,USU01,2013-02-02 16:00:00,263.4335632324219,1.5629770755767822,104.33970642089844,85090.453125,0.0021198326721787453
nam_2way_d02,USU01,2013-02-02 17:00:00,264.4747619628906,2.0449113845825195,108.69918823242188,85100.5546875,0.002305343747138977
nam_2way_d02,USU01,2013-02-02 18:00:00,265.9739074707031,1.1592158079147339,107.06802368164062,85121.890625,0.002598677296191454
nam_2way_d02,USU02,2013-02-02 12:00:00,262.4063415527344,0.4318515658378601,133.68499755859375,85566.734375,0.0019079328048974276
nam_2way_d02,USU02,2013-02-02 13:00:00,256.42425537109375,3.2251815795898438,274.53070068359375,85636.5625,0.0012395905796438456
nam_2way_d02,USU02,2013-02-02 14:00:00,255.88690185546875,1.01198148727417,228.29519653320312,85748.6328125,0.0016263111028820276
nam_2way_d02,USU02,2013-02-02 15:00:00,258.2654113769531,1.6640664339065552,345.1037292480469,85811.2265625,0.0013746898621320724
nam_2way_d02,USU02,2013-02-02 16:00:00,260.0998840332031,1.8398261070251465,14.46533203125,85837.875,0.001603514887392521
nam_2way_d02,USU02,2013-02-02 17:00:00,262.83544921875,0.4643554985523224,28.04052734375,85847.453125,0.0020094565115869045
nam_2way_d02,USU02,2013-02-02 18:00:00,264.278076171875,2.169236183166504,127.73277282714844,85865.96875,0.002250888617709279
nam_2way_d02,USU03,2013-02-02 12:00:00,263.5931091308594,3.8498127460479736,331.24993896484375,78435.7265625,0.0015457916306331754
